SensorID,Radiation,PositionX,PositionY,PositionZ
91,9.06149e-17,122.222,446.667,143.111
92,9.66442e-17,122.222,446.667,178.889
93,6.66886e-17,122.222,446.667,214.667
94,6.57426e-17,122.222,446.667,250.444
95,4.513e-17,122.222,446.667,286.222
97,3.49059e-17,122.222,558.333,71.5556
98,1.13811e-16,122.222,558.333,107.333
99,1.06808e-16,122.222,558.333,143.111
100,6.49364e-17,122.222,558.333,178.889
101,8.39744e-17,122.222,558.333,214.667
102,2.72325e-17,122.222,558.333,250.444
103,4.74192e-17,122.222,558.333,286.222
105,2.0844e-16,122.222,670,71.5556
106,5.96406e-17,122.222,670,107.333
107,9.17744e-17,122.222,670,143.111
108,1.08151e-16,122.222,670,178.889
109,1.58859e-16,122.222,670,214.667
110,7.37545e-17,122.222,670,250.444
111,3.74143e-16,122.222,670,286.222
113,3.15578e-16,122.222,781.667,71.5556
114,1.5067e-16,122.222,781.667,107.333
115,2.22343e-16,122.222,781.667,143.111
116,1.50906e-16,122.222,781.667,178.889
117,1.82822e-16,122.222,781.667,214.667
118,2.35277e-16,122.222,781.667,250.444
119,1.61617e-16,122.222,781.667,286.222
121,3.60596e-16,122.222,893.333,71.5556
122,4.27971e-16,122.222,893.333,107.333
123,4.40432e-16,122.222,893.333,143.111
124,4.02885e-16,122.222,893.333,178.889
125,4.0487e-16,122.222,893.333,214.667
126,3.39631e-16,122.222,893.333,250.444
127,2.32552e-16,122.222,893.333,286.222
129,1.25073e-17,183.333,111.667,71.5556
130,4.88427e-17,183.333,111.667,107.333
131,5.33911e-17,183.333,111.667,143.111
132,6.85202e-18,183.333,111.667,178.889
133,1.99051e-17,183.333,111.667,214.667
134,3.36547e-17,183.333,111.667,250.444
135,5.39392e-17,183.333,111.667,286.222
137,2.9734e-17,183.333,223.333,71.5556
138,2.78138e-17,183.333,223.333,107.333
139,4.43566e-17,183.333,223.333,143.111
140,5.10745e-17,183.333,223.333,178.889
141,3.75829e-17,183.333,223.333,214.667
142,3.05248e-17,183.333,223.333,250.444
143,3.37692e-17,183.333,223.333,286.222
145,5.52451e-17,183.333,335,71.5556
146,1.01622e-16,183.333,335,107.333
147,4.91089e-17,183.333,335,143.111
148,4.27157e-17,183.333,335,178.889
149,9.06037e-17,183.333,335,214.667
150,3.48866e-17,183.333,335,250.444
151,7.50241e-17,183.333,335,286.222
153,1.04899e-16,183.333,446.667,71.5556
154,3.07304e-17,183.333,446.667,107.333
155,7.73385e-17,183.333,446.667,143.111
156,5.49843e-17,183.333,446.667,178.889
157,9.23048e-17,183.333,446.667,214.667
158,7.00488e-17,183.333,446.667,250.444
159,5.54587e-17,183.333,446.667,286.222
161,1.79928e-16,183.333,558.333,71.5556
162,8.34873e-17,183.333,558.333,107.333
163,1.08926e-16,183.333,558.333,143.111
164,1.00049e-16,183.333,558.333,178.889
165,8.2902e-17,183.333,558.333,214.667
166,1.38063e-16,183.333,558.333,250.444
167,7.87083e-17,183.333,558.333,286.222
169,1.59526e-16,183.333,670,71.5556
170,9.197e-17,183.333,670,107.333
171,1.08889e-16,183.333,670,143.111
172,1.46378e-16,183.333,670,178.889
173,8.87854e-17,183.333,670,214.667
174,1.4627e-16,183.333,670,250.444
175,1.14887e-16,183.333,670,286.222
177,2.39674e-16,183.333,781.667,71.5556
178,2.23482e-16,183.333,781.667,107.333
179,2.18293e-16,183.333,781.667,143.111
180,1.81078e-16,183.333,781.667,178.889
181,1.63806e-16,183.333,781.667,214.667
182,1.90016e-16,183.333,781.667,250.444
183,1.34879e-16,183.333,781.667,286.222
185,3.46137e-16,183.333,893.333,71.5556
