SensorID,HitCount,PositionX,PositionY,PositionZ
191,442,183.333,893.333,286.222
193,38,244.444,111.667,71.5556
194,18,244.444,111.667,107.333
195,63,244.444,111.667,143.111
196,56,244.444,111.667,178.889
197,77,244.444,111.667,214.667
198,34,244.444,111.667,250.444
199,86,244.444,111.667,286.222
201,36,244.444,223.333,71.5556
202,55,244.444,223.333,107.333
203,41,244.444,223.333,143.111
204,54,244.444,223.333,178.889
205,57,244.444,223.333,214.667
206,67,244.444,223.333,250.444
207,70,244.444,223.333,286.222
209,87,244.444,335,71.5556
210,53,244.444,335,107.333
211,98,244.444,335,143.111
212,96,244.444,335,178.889
213,135,244.444,335,214.667
214,96,244.444,335,250.444
215,51,244.444,335,286.222
217,75,244.444,446.667,71.5556
218,72,244.444,446.667,107.333
219,53505,244.444,446.667,143.111
220,70072,244.444,446.667,178.889
221,101,244.444,446.667,214.667
222,146,244.444,446.667,250.444
223,43,244.444,446.667,286.222
225,72,244.444,558.333,71.5556
226,167,244.444,558.333,107.333
227,38490,244.444,558.333,143.111
228,38563,244.444,558.333,178.889
229,264,244.444,558.333,214.667
230,116,244.444,558.333,250.444
231,176,244.444,558.333,286.222
233,212,244.444,670,71.5556
234,204,244.444,670,107.333
235,24468,244.444,670,143.111
236,25690,244.444,670,178.889
237,4870,244.444,670,214.667
238,257,244.444,670,250.444
239,258,244.444,670,286.222
241,361,244.444,781.667,71.5556
242,7673,244.444,781.667,107.333
243,15167,244.444,781.667,143.111
244,18399,244.444,781.667,178.889
245,14293,244.444,781.667,214.667
246,262,244.444,781.667,250.444
247,214,244.444,781.667,286.222
249,611,244.444,893.333,71.5556
250,14534,244.444,893.333,107.333
251,11211,244.444,893.333,143.111
252,9805,244.444,893.333,178.889
253,11969,244.444,893.333,214.667
254,529,244.444,893.333,250.444
255,445,244.444,893.333,286.222
257,52,305.556,111.667,71.5556
258,51,305.556,111.667,107.333
259,81,305.556,111.667,143.111
260,27,305.556,111.667,178.889
